userid,movieid,rating,date
9789,26405,5,1/25/2009 0:00
6331,38700,5,5/15/2009 0:00
6331,44142,2,5/15/2009 0:00
6573,26405,2.5,2/11/2009 0:00
6573,43529,1.5,2/11/2009 0:00
9258,12902,3.5,4/17/2009 0:00
9258,12903,3,4/17/2009 0:00
6563,16969,5,2/28/2009 0:00
6563,62530,5,3/2/2009 0:00
6234,57699,2,7/28/2009 0:00
9648,43529,5,6/8/2009 0:00
9648,62530,5,6/8/2009 0:00
2182,49829,4.5,5/8/2009 0:00
5212,63684,3.5,6/2/2009 0:00
258,16694,3,5/23/2009 0:00
258,51696,1.5,5/23/2009 0:00
6481,5124,4.5,4/25/2009 0:00
6481,5806,3.5,4/25/2009 0:00
307,464,3.5,1/23/2008 0:00
307,10566,4.5,6/16/2008 0:00
1324,49792,4.5,5/15/2009 0:00
5918,62530,1,4/27/2009 0:00
2183,8165,4.5,6/8/2009 0:00
2183,18330,4,8/25/2009 0:00
6035,348,4,3/24/2009 0:00
6035,926,3,3/24/2009 0:00
6073,25050,0.5,9/23/2009 0:00
6073,43318,0.5,9/23/2009 0:00
1326,40697,3.5,3/30/2009 0:00
1326,60268,5,3/5/2009 0:00
6702,21442,4.5,6/8/2009 0:00
6702,44167,5,7/31/2009 0:00
8897,5124,3,7/20/2009 0:00
8897,12185,2.5,7/22/2009 0:00
371,348,4,5/1/2009 0:00
371,101,3.5,5/1/2009 0:00
5955,7684,3.5,6/30/2009 0:00
5955,8784,3.5,6/30/2009 0:00
1645,10563,2.5,9/5/2009 0:00
1645,46173,1,9/5/2009 0:00
1220,17422,3,1/16/2009 0:00
1220,26405,4,1/16/2009 0:00
3864,237,4.5,3/19/2009 0:00
3864,26642,5,3/19/2009 0:00
9350,20641,5,7/16/2009 0:00
9889,81,1.5,6/25/2009 0:00
9889,101,2.5,6/25/2009 0:00
6327,20641,3.5,7/17/2009 0:00
5604,2550,5,9/3/2009 0:00
2175,8949,4.5,1/17/2009 0:00
2175,26405,4.5,1/17/2009 0:00
3285,21087,4.5,12/22/2008 0:00
3285,24251,4.5,12/26/2008 0:00
3865,21508,0.5,8/1/2009 0:00
3866,4770,5,11/11/2008 0:00
3866,12956,4,4/28/2009 0:00
1670,20641,5,6/30/2009 0:00
1670,36092,4.5,9/3/2009 0:00
